Number of Missiles,Mach Max Sust. Turn,Maneuver Mach,Max Man. G Load,Max Inst. Turn Rate,Corner Speed (TAS),S_ref,AR,Taper Ratio
5,1.1,0.8,4.5,18,270,26.2,2,0.28
4,1.13,0.88,4.5,19.1,275,33.1,5.1,0.218
4,1.13,0.98,3.1,19.9,276,32.3,1.5,0.318
3,1.11,0.97,4,18.1,270,29.1,4.3,0.214
5,1.21,0.85,4.5,20.8,263,28.6,2,0.667
6,1.03,0.88,3.5,20.3,246,30.9,4.4,0.207
6,1.28,0.81,3.1,17.2,240,23.8,4.7,0.427
4,1.27,1,3.1,20.8,271,34.5,5.3,0.239
3,1.08,0.87,4.9,18.4,277,27.6,1.7,0.463
6,1.05,0.93,4.3,19.8,247,30.8,5.2,0.368
